fixture_id,date,home_team,away_team,status,minute,home_score,away_score,home_red_cards,away_red_cards,source,updated_at
1489403,2026-06-23,Panama,Croatia,Match Finished,90.0,0.0,1.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489408,2026-06-24,Switzerland,Canada,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539009,2026-06-24,Bosnia and Herzegovina,Qatar,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489405,2026-06-24,Morocco,Haiti,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489406,2026-06-24,Scotland,Brazil,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539010,2026-06-25,Czechia,Mexico,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489407,2026-06-25,South Africa,South Korea,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489410,2026-06-25,Ecuador,Germany,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489409,2026-06-25,Curacao,Ivory Coast,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539011,2026-06-25,Japan,Sweden,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489412,2026-06-25,Tunisia,Netherlands,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539012,2026-06-26,Turkey,United States,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489411,2026-06-26,Paraguay,Australia,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539074,2026-06-26,Senegal,Iraq,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489416,2026-06-26,Norway,France,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489417,2026-06-27,Uruguay,Spain,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489413,2026-06-27,Cape Verde,Saudi Arabia,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489414,2026-06-27,Egypt,Iran,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489415,2026-06-27,New Zealand,Belgium,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489420,2026-06-27,Croatia,Ghana,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489422,2026-06-27,Panama,England,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489419,2026-06-27,Colombia,Portugal,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539013,2026-06-27,DR Congo,Uzbekistan,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489418,2026-06-28,Algeria,Austria,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1489421,2026-06-28,Jordan,Argentina,Not Started,,,,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1525054,2026-06-24,Midlakes United,Snohomish United,Second Half,80.0,0.0,4.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
1539008,2026-06-24,Colombia,DR Congo,Second Half,53.0,0.0,0.0,0,0,api_football:/fixtures,2026-06-24T03:14:19+00:00
