fixture_id,date,kickoff_time,status,minute,home_team,away_team,venue,stage,group,source,updated_at
1539004,2026-06-18,2026-06-18T16:00:00+00:00,Match Finished,90.0,Czechia,South Africa,Mercedes-Benz Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539005,2026-06-18,2026-06-18T19:00:00+00:00,Match Finished,90.0,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489387,2026-06-18,2026-06-18T22:00:00+00:00,Match Finished,90.0,Canada,Qatar,BC Place,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489388,2026-06-19,2026-06-19T01:00:00+00:00,Match Finished,90.0,Mexico,South Korea,Estadio Akron,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489391,2026-06-19,2026-06-19T19:00:00+00:00,Match Finished,90.0,United States,Australia,Lumen Field,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489390,2026-06-19,2026-06-19T22:00:00+00:00,Match Finished,90.0,Scotland,Morocco,Gillette Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489389,2026-06-20,2026-06-20T00:30:00+00:00,Match Finished,90.0,Brazil,Haiti,Lincoln Financial Field,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539006,2026-06-20,2026-06-20T03:00:00+00:00,Match Finished,90.0,Turkey,Paraguay,Levi's Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539007,2026-06-20,2026-06-20T17:00:00+00:00,Match Finished,90.0,Netherlands,Sweden,NRG Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489393,2026-06-20,2026-06-20T20:00:00+00:00,Match Finished,90.0,Germany,Ivory Coast,BMO Field,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489392,2026-06-21,2026-06-21T00:00:00+00:00,Match Finished,90.0,Ecuador,Curacao,Arrowhead Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489394,2026-06-21,2026-06-21T04:00:00+00:00,Match Finished,90.0,Tunisia,Japan,Estadio BBVA,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489397,2026-06-21,2026-06-21T16:00:00+00:00,Match Finished,90.0,Spain,Saudi Arabia,Mercedes-Benz Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489395,2026-06-21,2026-06-21T19:00:00+00:00,Match Finished,90.0,Belgium,Iran,SoFi Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489398,2026-06-21,2026-06-21T22:00:00+00:00,Match Finished,90.0,Uruguay,Cape Verde,Hard Rock Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489396,2026-06-22,2026-06-22T01:00:00+00:00,Match Finished,90.0,New Zealand,Egypt,BC Place,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489399,2026-06-22,2026-06-22T17:00:00+00:00,Match Finished,90.0,Argentina,Austria,AT&T Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539017,2026-06-22,2026-06-22T21:00:00+00:00,Match Finished,90.0,France,Iraq,Lincoln Financial Field,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489401,2026-06-23,2026-06-23T00:00:00+00:00,Match Finished,90.0,Norway,Senegal,MetLife Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489400,2026-06-23,2026-06-23T03:00:00+00:00,Match Finished,90.0,Jordan,Algeria,Levi's Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489404,2026-06-23,2026-06-23T17:00:00+00:00,Match Finished,90.0,Portugal,Uzbekistan,NRG Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489402,2026-06-23,2026-06-23T20:00:00+00:00,Match Finished,90.0,England,Ghana,Gillette Stadium,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539008,2026-06-24,2026-06-24T02:00:00+00:00,Not Started,,Colombia,DR Congo,Estadio Akron,Group Stage - 2,Group Stage - 2,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489408,2026-06-24,2026-06-24T19:00:00+00:00,Not Started,,Switzerland,Canada,BC Place,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1539009,2026-06-24,2026-06-24T19:00:00+00:00,Not Started,,Bosnia and Herzegovina,Qatar,Lumen Field,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
1489405,2026-06-24,2026-06-24T22:00:00+00:00,Not Started,,Morocco,Haiti,Mercedes-Benz Stadium,Group Stage - 3,Group Stage - 3,api_football:/fixtures,2026-06-24T00:37:30+00:00
