simulation_id,stage,match_slot,team_a,team_b,winner,loser
2,round_of_32,78,Mexico,Ecuador,Ecuador,Mexico
2,round_of_32,79,Ivory Coast,Senegal,Senegal,Ivory Coast
2,round_of_32,80,United States,Iraq,Iraq,United States
2,round_of_32,81,Egypt,Spain,Spain,Egypt
2,round_of_32,82,England,Austria,Austria,England
2,round_of_32,83,DR Congo,Croatia,Croatia,DR Congo
2,round_of_32,84,Canada,Ghana,Canada,Ghana
2,round_of_32,85,Uruguay,Algeria,Algeria,Uruguay
2,round_of_32,86,Portugal,Uzbekistan,Portugal,Uzbekistan
2,round_of_32,87,Argentina,Cape Verde,Argentina,Cape Verde
2,round_of_32,88,Australia,Belgium,Belgium,Australia
2,round_of_16,89,South Korea,Netherlands,South Korea,Netherlands
2,round_of_16,90,Germany,France,Germany,France
2,round_of_16,91,Senegal,Iraq,Iraq,Senegal
2,round_of_16,92,Japan,Ecuador,Japan,Ecuador
2,round_of_16,93,Spain,Austria,Spain,Austria
2,round_of_16,94,Croatia,Canada,Canada,Croatia
2,round_of_16,95,Algeria,Argentina,Argentina,Algeria
2,round_of_16,96,Portugal,Belgium,Belgium,Portugal
2,quarterfinal,97,South Korea,Germany,Germany,South Korea
2,quarterfinal,98,Spain,Canada,Canada,Spain
2,quarterfinal,99,Iraq,Japan,Japan,Iraq
2,quarterfinal,100,Argentina,Belgium,Argentina,Belgium
2,semifinal,101,Germany,Canada,Germany,Canada
2,semifinal,102,Japan,Argentina,Argentina,Japan
2,final,104,Germany,Argentina,Germany,Argentina
2,third_place,103,Canada,Japan,Japan,Canada
3,round_of_32,73,South Africa,Switzerland,Switzerland,South Africa
3,round_of_32,74,Germany,South Korea,Germany,South Korea
3,round_of_32,75,Morocco,Sweden,Sweden,Morocco
3,round_of_32,76,Netherlands,Scotland,Netherlands,Scotland
3,round_of_32,77,France,Brazil,Brazil,France
3,round_of_32,78,Mexico,Japan,Mexico,Japan
3,round_of_32,79,Ivory Coast,Norway,Norway,Ivory Coast
3,round_of_32,80,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina
3,round_of_32,81,Egypt,Senegal,Senegal,Egypt
3,round_of_32,82,England,Algeria,Algeria,England
3,round_of_32,83,DR Congo,Ghana,DR Congo,Ghana
3,round_of_32,84,Canada,Iran,Iran,Canada
3,round_of_32,85,Spain,Argentina,Spain,Argentina
3,round_of_32,86,Colombia,Paraguay,Colombia,Paraguay
3,round_of_32,87,Austria,Cape Verde,Cape Verde,Austria
3,round_of_32,88,Australia,Belgium,Belgium,Australia
3,round_of_16,89,Switzerland,Sweden,Switzerland,Sweden
3,round_of_16,90,Germany,Brazil,Germany,Brazil
3,round_of_16,91,Norway,United States,United States,Norway
3,round_of_16,92,Netherlands,Mexico,Mexico,Netherlands
3,round_of_16,93,Senegal,Algeria,Senegal,Algeria
3,round_of_16,94,DR Congo,Iran,Iran,DR Congo
3,round_of_16,95,Spain,Cape Verde,Spain,Cape Verde
3,round_of_16,96,Colombia,Belgium,Colombia,Belgium
3,quarterfinal,97,Switzerland,Germany,Germany,Switzerland
3,quarterfinal,98,Senegal,Iran,Senegal,Iran
3,quarterfinal,99,United States,Mexico,United States,Mexico
3,quarterfinal,100,Spain,Colombia,Colombia,Spain
3,semifinal,101,Germany,Senegal,Germany,Senegal
3,semifinal,102,United States,Colombia,United States,Colombia
3,final,104,Germany,United States,Germany,United States
3,third_place,103,Senegal,Colombia,Colombia,Senegal
4,round_of_32,73,Czechia,Switzerland,Czechia,Switzerland
4,round_of_32,74,Germany,South Korea,Germany,South Korea
4,round_of_32,75,Brazil,Japan,Japan,Brazil
4,round_of_32,76,Netherlands,Morocco,Morocco,Netherlands
4,round_of_32,77,France,Scotland,France,Scotland
4,round_of_32,78,Mexico,Sweden,Mexico,Sweden
4,round_of_32,79,Ivory Coast,Norway,Norway,Ivory Coast
4,round_of_32,80,United States,Bosnia and Herzegovina,Bosnia and Herzegovina,United States
4,round_of_32,81,Egypt,Uruguay,Uruguay,Egypt
4,round_of_32,82,Ghana,Algeria,Algeria,Ghana
4,round_of_32,83,Uzbekistan,England,England,Uzbekistan
4,round_of_32,84,Canada,Iran,Canada,Iran
4,round_of_32,85,Spain,Austria,Spain,Austria
4,round_of_32,86,Colombia,Paraguay,Colombia,Paraguay
4,round_of_32,87,Argentina,Cape Verde,Argentina,Cape Verde
4,round_of_32,88,Australia,Belgium,Belgium,Australia
4,round_of_16,89,Czechia,Japan,Czechia,Japan
4,round_of_16,90,Germany,France,Germany,France
4,round_of_16,91,Norway,Bosnia and Herzegovina,Norway,Bosnia and Herzegovina
4,round_of_16,92,Morocco,Mexico,Mexico,Morocco
4,round_of_16,93,Uruguay,Algeria,Uruguay,Algeria
4,round_of_16,94,England,Canada,England,Canada
4,round_of_16,95,Spain,Argentina,Spain,Argentina
