model_name,test_year,parameter,value,tuning_source_years,tuning_log_loss,selected_value,selected,notes,bucket_n,bucket_mean_confidence,bucket_empirical_accuracy
official_model_confidence_calibrated,2014,confidence_gamma:0.60-0.70,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_confidence_calibrated,2014,confidence_gamma:0.70-1.00,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_confidence_calibrated,2014,confidence_gamma:0.00-0.40,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_confidence_calibrated,2014,confidence_gamma:0.40-0.50,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_confidence_calibrated,2014,confidence_gamma:0.50-0.60,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_confidence_calibrated,2014,confidence_gamma:0.60-0.70,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_confidence_calibrated,2014,confidence_gamma:0.70-1.00,1.0,none,,1.0,True,limited: no prior rows; identity confidence calibration,,,
official_model_draw_calibrated,2018,draw_multiplier,0.55,2014,1.90297918036041,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.6,2014,1.8300568869791978,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.65,2014,1.7638908553170225,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.7,2014,1.7034539001118512,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.75,2014,1.6479328012005114,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.8,2014,1.5966729116744705,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.85,2014,1.5491395932634515,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.9,2014,1.5048906956267911,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,0.95,2014,1.4635564899472349,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
official_model_draw_calibrated,2018,draw_multiplier,1.0,2014,1.424824758650187,1.8,False,draw-specific log loss selected using prior tournament draw rows only,,,
