model_name,test_year,stage,bucket,mean_confidence,empirical_accuracy,count,calibration_gap
historical_class_frequency,all,round_of_16,"(0.0,0.1]",,,0,
historical_class_frequency,all,round_of_16,"(0.1,0.2]",,,0,
historical_class_frequency,all,round_of_16,"(0.2,0.3]",,,0,
historical_class_frequency,all,round_of_16,"(0.3,0.4]",,,0,
historical_class_frequency,all,round_of_16,"(0.4,0.5]",0.49249004626236087,0.7083333333333334,24,0.2158432870709725
historical_class_frequency,all,round_of_16,"(0.5,0.6]",,,0,
historical_class_frequency,all,round_of_16,"(0.6,0.7]",,,0,
historical_class_frequency,all,round_of_16,"(0.7,0.8]",,,0,
historical_class_frequency,all,round_of_16,"(0.8,0.9]",,,0,
historical_class_frequency,all,round_of_16,"(0.9,1.0]",,,0,
historical_class_frequency,all,semifinal,"(0.0,0.1]",,,0,
historical_class_frequency,all,semifinal,"(0.1,0.2]",,,0,
historical_class_frequency,all,semifinal,"(0.2,0.3]",,,0,
historical_class_frequency,all,semifinal,"(0.3,0.4]",,,0,
historical_class_frequency,all,semifinal,"(0.4,0.5]",0.49249004626236087,0.6666666666666666,6,0.17417662040430576
historical_class_frequency,all,semifinal,"(0.5,0.6]",,,0,
historical_class_frequency,all,semifinal,"(0.6,0.7]",,,0,
historical_class_frequency,all,semifinal,"(0.7,0.8]",,,0,
historical_class_frequency,all,semifinal,"(0.8,0.9]",,,0,
